code	lut_i32	sample14
882	426	107
883	426	107
884	427	107
885	427	107
886	427	107
887	428	107
888	428	107
889	429	107
890	429	107
891	430	108
892	430	108
893	431	108
894	431	108
895	432	108
896	432	108
897	433	108
898	433	108
899	433	108
900	434	109
901	434	109
902	435	109
903	435	109
904	436	109
905	436	109
906	437	109
907	437	109
908	438	110
909	438	110
910	439	110
911	439	110
912	440	110
913	440	110
914	440	110
915	441	110
916	441	110
917	442	111
918	442	111
919	443	111
920	443	111
921	444	111
922	444	111
923	445	111
924	445	111
925	446	112
926	446	112
927	446	112
928	447	112
929	447	112
930	448	112
931	448	112
932	449	112
933	449	112
934	450	113
935	450	113
936	451	113
937	451	113
938	452	113
939	452	113
940	452	113
941	453	113
942	453	113
943	454	114
944	454	114
945	455	114
946	455	114
947	456	114
948	456	114
949	457	114
950	457	114
951	458	115
952	458	115
953	458	115
954	459	115
955	459	115
956	460	115
957	460	115
958	461	115
959	461	115
960	462	116
961	462	116
962	463	116
963	463	116
964	464	116
965	464	116
966	464	116
967	465	116
968	465	116
969	466	117
970	466	117
971	467	117
972	467	117
973	468	117
974	468	117
975	469	117
976	469	117
977	470	118
978	470	118
979	471	118
980	471	118
981	471	118
982	472	118
983	472	118
984	473	118
985	473	118
986	474	119
987	474	119
988	475	119
989	475	119
990	476	119
991	476	119
992	477	119
993	477	119
994	477	119
995	478	120
996	478	120
997	479	120
998	479	120
999	480	120
1000	480	120
1001	481	120
1002	481	120
1003	482	121
1004	482	121
1005	483	121
1006	483	121
1007	483	121
1008	484	121
1009	484	121
1010	485	121
1011	485	121
1012	486	122
1013	486	122
1014	487	122
1015	487	122
1016	488	122
1017	488	122
1018	489	122
1019	489	122
1020	489	122
1021	490	123
1022	490	123
1023	491	123
1024	491	123
1025	492	123
1026	492	123
1027	493	123
1028	493	123
1029	494	124
1030	494	124
1031	495	124
1032	495	124
1033	495	124
1034	496	124
1035	496	124
1036	497	124
1037	497	124
1038	498	125
1039	498	125
1040	499	125
1041	499	125
1042	500	125
1043	500	125
1044	501	125
1045	501	125
1046	502	126
1047	502	126
1048	502	126
1049	503	126
1050	503	126
1051	504	126
1052	504	126
1053	505	126
1054	505	126
1055	506	127
1056	506	127
1057	507	127
1058	507	127
1059	508	127
1060	508	127
1061	508	127
1062	509	127
1063	509	127
1064	510	128
1065	510	128
1066	511	128
1067	511	128
1068	512	128
1069	512	128
1070	513	128
1071	513	128
1072	514	129
1073	514	129
1074	514	129
1075	515	129
1076	515	129
1077	516	129
1078	516	129
1079	517	129
1080	517	129
1081	518	130
1082	518	130
1083	519	130
1084	519	130
1085	520	130
1086	520	130
1087	520	130
1088	521	130
1089	521	130
1090	522	131
1091	522	131
1092	523	131
1093	523	131
1094	524	131
1095	524	131
1096	525	131
1097	525	131
1098	526	132
1099	526	132
1100	526	132
1101	527	132
1102	527	132
1103	528	132
1104	528	132
1105	529	132
1106	529	132
1107	530	133
1108	530	133
1109	531	133
1110	531	133
1111	532	133
1112	532	133
1113	533	133
1114	533	133
1115	533	133
1116	534	134
